#OTU_num	C0.1	C0.2	C0.3	C0.4	C0.5	C1.1	C1.2	C1.3	C1.4	C1.5	P.1	P.2	P.3	P.4	P.5	Cd10.1	Cd10.2	Cd10.3	Cd10.4	Cd10.5	Cd40.1	Cd40.2	Cd40.3	Cd40.4	Cd40.5	PCd10.1	PCd10.2	PCd10.3	PCd10.4	PCd10.5	PCd40.1	PCd40.2	PCd40.3	PCd40.4	PCd40.5	SC.1	SC.2	SC.3	SC.4	SC.5	SP.1	SP.2	SP.3	SP.4	SP.5	S10.1	S10.2	S10.3	S10.4	S10.5	SP10.1	SP10.2	SP10.3	SP10.4	SP10.5	S40.1	S40.2	S40.3	S40.4	S40.5	SP40.1	SP40.2	SP40.3	SP40.4	SP40.5	FC.1	FC.2	FC.3	FC.4	FC.5	FP.1	FP.2	FP.3	FP.4	FP.5	F10.1	F10.2	F10.3	F10.4	F10.5	FP10.1	FP10.2	FP10.3	FP10.4	FP10.5	F40.1	F40.2	F40.3	F40.4	F40.5	FP40.1	FP40.2	FP40.3	FP40.4	FP40.5	Taxonomy
ASV0	143.0	68.0	129.0	113.0	106.0	188.0	307.0	188.0	193.0	204.0	1853.0	1616.0	2834.0	1500.0	1910.0	2122.0	2619.0	2282.0	5989.0	2879.0	15031.0	21444.0	21567.0	12921.0	21877.0	123.0	313.0	244.0	282.0	577.0	141.0	355.0	464.0	203.0	245.0	42609.0	48107.0	45776.0	43674.0	56060.0	26471.0	25479.0	58106.0	55499.0	54232.0	78724.0	72660.0	82115.0	77950.0	81072.0	35924.0	60777.0	57959.0	47317.0	55146.0	76026.0	76939.0	86160.0	75311.0	75977.0	47756.0	48866.0	49104.0	39561.0	23436.0	233.0	499.0	157.0	403.0	283.0	3147.0	3549.0	1888.0	2457.0	5600.0	2972.0	3106.0	3116.0	3785.0	2984.0	401.0	539.0	408.0	417.0	293.0	13999.0	5250.0	11888.0	12630.0	9449.0	551.0	879.0	465.0	636.0	449.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium_cervicicola
ASV1	1367.0	950.0	1183.0	876.0	792.0	47511.0	34844.0	40168.0	38996.0	37905.0	22491.0	21016.0	19546.0	20685.0	23525.0	21409.0	18882.0	23404.0	30094.0	24645.0	16521.0	17101.0	14884.0	14367.0	16109.0	14477.0	27006.0	33885.0	27095.0	29632.0	11624.0	23702.0	20667.0	22217.0	17429.0	8132.0	6384.0	6910.0	8024.0	7660.0	2846.0	4434.0	4453.0	5393.0	5518.0	3455.0	3256.0	4099.0	4661.0	4331.0	3277.0	5090.0	4738.0	3831.0	3573.0	2507.0	2749.0	2796.0	2127.0	2472.0	9517.0	7239.0	7076.0	2742.0	1585.0	16822.0	18285.0	18869.0	19394.0	18099.0	14638.0	10752.0	14007.0	14284.0	12843.0	16021.0	14643.0	13936.0	14630.0	13420.0	27924.0	24983.0	28780.0	23883.0	14947.0	10507.0	4531.0	11486.0	11727.0	9548.0	28918.0	22120.0	28475.0	28895.0	28969.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Acrophialophora;s__Acrophialophora_sp
ASV2	1330.0	2769.0	3286.0	1288.0	1989.0	3752.0	3301.0	3361.0	3662.0	3815.0	4151.0	4631.0	4170.0	4071.0	7318.0	15619.0	12681.0	17034.0	18238.0	20374.0	4501.0	2685.0	1781.0	1634.0	3569.0	832.0	1900.0	2339.0	1371.0	1699.0	13623.0	19089.0	14206.0	16421.0	14227.0	80.0	55.0	103.0	52.0	90.0	21.0	27.0	44.0	35.0	65.0	38.0	25.0	57.0	51.0	63.0	37.0	56.0	48.0	58.0	60.0	23.0	46.0	21.0	20.0	61.0	49.0	44.0	19.0	34.0	32.0	30504.0	28054.0	30301.0	30062.0	29738.0	13035.0	16005.0	11557.0	10497.0	16952.0	12725.0	12477.0	12831.0	12730.0	13221.0	10181.0	14059.0	12927.0	17632.0	30052.0	2865.0	1100.0	2292.0	2767.0	2378.0	23015.0	25013.0	26435.0	24391.0	25049.0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Talaromyces;s__Talaromyces_pinophilus
ASV3	658.0	717.0	566.0	598.0	624.0	2391.0	1636.0	1922.0	2197.0	2110.0	1719.0	2140.0	2054.0	1855.0	1821.0	7213.0	6608.0	6959.0	12146.0	7695.0	17466.0	18213.0	14171.0	12325.0	18746.0	1427.0	2805.0	2649.0	2756.0	2944.0	23411.0	22868.0	26538.0	27584.0	23830.0	3391.0	2610.0	2899.0	3402.0	3603.0	1078.0	1187.0	2702.0	3039.0	2080.0	3623.0	3271.0	3614.0	2958.0	3789.0	2259.0	4352.0	4947.0	2947.0	15634.0	6696.0	6225.0	6587.0	5802.0	5869.0	10510.0	12166.0	10580.0	27991.0	18343.0	2152.0	2343.0	2275.0	2424.0	2342.0	2353.0	2750.0	2276.0	2278.0	2112.0	5571.0	5899.0	6066.0	6421.0	5712.0	3323.0	4757.0	3141.0	4054.0	2730.0	13008.0	6422.0	13635.0	18885.0	13270.0	8070.0	8415.0	8685.0	8143.0	8445.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium;s__Chaetomium_longiciliatum
ASV4	26109.0	26008.0	14420.0	19268.0	22895.0	11281.0	9704.0	8682.0	10375.0	12768.0	25682.0	29072.0	31132.0	30480.0	24713.0	2884.0	2995.0	3456.0	4701.0	4188.0	870.0	1267.0	1504.0	536.0	1214.0	3595.0	7944.0	9519.0	7176.0	8426.0	311.0	1177.0	1407.0	810.0	917.0	7891.0	5968.0	7605.0	8317.0	7766.0	5017.0	5050.0	7830.0	6472.0	10759.0	897.0	894.0	997.0	1026.0	1317.0	4794.0	7801.0	5874.0	5700.0	5081.0	490.0	391.0	453.0	421.0	471.0	3005.0	3196.0	2865.0	1144.0	720.0	4174.0	5175.0	4224.0	6061.0	5018.0	10879.0	6463.0	12228.0	13328.0	5521.0	1515.0	1046.0	1495.0	2050.0	1136.0	4852.0	3860.0	4839.0	3571.0	1624.0	913.0	337.0	699.0	642.0	1025.0	1365.0	916.0	1018.0	1291.0	1221.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae
ASV5	0.0	0.0	34.0	104.0	0.0	16087.0	25735.0	20512.0	24022.0	18910.0	5511.0	7116.0	6023.0	7875.0	6515.0	2820.0	1874.0	1894.0	5537.0	2735.0	65.0	0.0	0.0	0.0	6.0	11442.0	20460.0	17219.0	25462.0	24781.0	0.0	61.0	12.0	0.0	12.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13615.0	12897.0	15145.0	16579.0	13562.0	4059.0	3816.0	6125.0	7098.0	3829.0	1628.0	1611.0	1547.0	2257.0	1635.0	6680.0	10392.0	6968.0	2628.0	769.0	0.0	2.0	0.0	0.0	0.0	5.0	0.0	15.0	7.0	8.0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Irpicaceae;g__Gloeoporus;s__Gloeoporus_sp
ASV6	0.0	0.0	0.0	55.0	60.0	0.0	0.0	0.0	0.0	0.0	170.0	101.0	141.0	125.0	121.0	11593.0	8864.0	13278.0	14052.0	14744.0	109.0	0.0	0.0	0.0	104.0	150.0	377.0	398.0	186.0	236.0	4069.0	6788.0	4736.0	5700.0	4621.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	750.0	251.0	252.0	353.0	10934.0	10522.0	11312.0	10345.0	11151.0	2052.0	2647.0	2813.0	3206.0	4207.0	0.0	0.0	0.0	0.0	0.0	8642.0	8216.0	10157.0	8232.0	9945.0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Talaromyces
ASV7	0.0	0.0	34.0	89.0	3.0	2190.0	2365.0	2071.0	2498.0	2166.0	4671.0	6248.0	5403.0	8095.0	5738.0	2206.0	1625.0	1562.0	5433.0	2257.0	75.0	5.0	7.0	0.0	0.0	7879.0	14216.0	11528.0	18138.0	17033.0	0.0	40.0	15.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1929.0	1908.0	2236.0	2533.0	2116.0	3677.0	3256.0	5108.0	6107.0	3216.0	1348.0	1276.0	1328.0	1426.0	1494.0	4805.0	6492.0	4682.0	1707.0	594.0	0.0	0.0	0.0	0.0	0.0	4.0	45.0	15.0	7.0	0.0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Irpicaceae;g__Gloeoporus;s__Gloeoporus_sp
ASV8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	24.0	9.0	11.0	5.0	747.0	225.0	195.0	327.0	444.0	623.0	435.0	1411.0	2343.0	1118.0	0.0	2.0	0.0	5.0	4.0	15.0	22.0	9.0	4.0	28.0	0.0	0.0	0.0	0.0	0.0	12.0	18.0	5.0	625.0	33.0	228.0	151.0	181.0	266.0	225.0	1179.0	1262.0	1198.0	851.0	1420.0	1934.0	1597.0	1645.0	1559.0	1618.0	3346.0	4268.0	3318.0	4034.0	6428.0	15770.0	7842.0	12467.0	18027.0	13292.0	304.0	1297.0	332.0	298.0	352.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Beauveria;s__Beauveria_sp
ASV9	5540.0	5212.0	2588.0	5047.0	2196.0	537.0	522.0	455.0	518.0	664.0	356.0	240.0	584.0	256.0	614.0	532.0	996.0	2590.0	1678.0	764.0	3445.0	2693.0	2164.0	1837.0	2604.0	186.0	428.0	533.0	270.0	381.0	95.0	220.0	297.0	152.0	200.0	1913.0	1609.0	2523.0	1785.0	2253.0	407.0	370.0	703.0	655.0	950.0	984.0	1311.0	1257.0	1180.0	1264.0	1522.0	2196.0	1647.0	2025.0	1391.0	1453.0	1462.0	1941.0	1501.0	1628.0	2206.0	3303.0	2613.0	1155.0	642.0	472.0	652.0	491.0	484.0	515.0	170.0	133.0	241.0	320.0	153.0	659.0	446.0	732.0	563.0	778.0	368.0	166.0	226.0	228.0	76.0	1613.0	912.0	1965.0	1642.0	2264.0	400.0	249.0	318.0	463.0	345.0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Chaetomium
